product_id,product_name,category,brand,store_id,store_name,store_location,base_price,discount_rate,promotion_type,day_of_year,month,day_of_week,season,is_holiday,avg_units_sold_30d,avg_customers_30d,profit_margin,profit_class
P100951,Dell Beauty Item,Beauty,Dell,S026,Amazon Store 26,US-East,85.55,0.0,No Promotion,5,1,Sun,Winter,0,17,38,0.375,high
P100774,Nike Electronics Item,Electronics,Nike,S032,Amazon Store 32,US-West,123.38,0.0,No Promotion,57,2,Wed,Winter,0,19,38,0.425,high
P100938,L'Oreal Grocery Item,Grocery,L'Oreal,S002,Amazon Store 2,US-East,11.19,0.0,No Promotion,334,12,Sun,Fall,0,6,7,0.311,high
P100829,LG Beauty Item,Beauty,LG,S033,Amazon Store 33,UK,170.02,0.0,No Promotion,69,3,Tue,Winter,0,39,77,0.452,high
P100058,AmazonBasics Beauty Item,Beauty,AmazonBasics,S048,Amazon Store 48,EU,97.77,0.55,Clearance,118,4,Tue,Spring,0,21,41,-0.392,loss
P101199,Samsung Beauty Item,Beauty,Samsung,S010,Amazon Store 10,US-East,34.69,0.0,No Promotion,59,2,Sat,Winter,0,71,117,0.394,high
P101137,Sony Electronics Item,Electronics,Sony,S020,Amazon Store 20,Canada,126.59,0.22,Flash Sale,33,2,Wed,Winter,0,49,75,0.226,medium
P100564,L'Oreal Sports Item,Sports,L'Oreal,S018,Amazon Store 18,Canada,224.35,0.0,No Promotion,318,11,Thu,Fall,1,16,25,0.331,high
P101072,Sony Electronics Item,Electronics,Sony,S022,Amazon Store 22,UK,936.35,0.0,No Promotion,50,2,Mon,Winter,1,21,33,0.261,medium
P100939,Adidas Home Item,Home,Adidas,S049,Amazon Store 49,US-East,457.31,0.41,Clearance,19,1,Wed,Winter,0,19,37,-0.291,loss
P101006,Sony Fashion Item,Fashion,Sony,S010,Amazon Store 10,US-East,61.71,0.07,Seasonal,214,8,Fri,Summer,1,10,14,0.246,medium
P100896,Sony Sports Item,Sports,Sony,S047,Amazon Store 47,Canada,125.86,0.0,No Promotion,197,7,Tue,Summer,0,10,19,0.441,high
P100819,L'Oreal Home Item,Home,L'Oreal,S049,Amazon Store 49,US-East,360.85,0.0,No Promotion,47,2,Tue,Winter,0,28,55,0.499,high
P100149,Dell Grocery Item,Grocery,Dell,S018,Amazon Store 18,Canada,13.82,0.39,Clearance,167,6,Tue,Spring,0,21,35,0.166,medium
P100094,Sony Beauty Item,Beauty,Sony,S013,Amazon Store 13,US-East,123.72,0.17,Seasonal,289,10,Thu,Fall,0,16,37,0.075,low
P100845,HP Grocery Item,Grocery,HP,S006,Amazon Store 6,US-East,10.92,0.56,Clearance,141,5,Fri,Spring,1,15,20,-0.5,loss
P100969,Samsung Electronics Item,Electronics,Samsung,S031,Amazon Store 31,EU,890.32,0.0,No Promotion,84,3,Thu,Spring,0,32,75,0.402,high
P100172,Apple Grocery Item,Grocery,Apple,S047,Amazon Store 47,Canada,10.25,0.19,Holiday,182,7,Mon,Summer,0,14,34,0.252,medium
P100630,LG Sports Item,Sports,LG,S009,Amazon Store 9,EU,54.11,0.09,Seasonal,79,3,Wed,Winter,0,71,161,0.443,high
P100754,Nike Beauty Item,Beauty,Nike,S029,Amazon Store 29,US-East,96.64,0.0,No Promotion,215,8,Wed,Summer,1,5,7,0.289,medium
P100928,L'Oreal Sports Item,Sports,L'Oreal,S043,Amazon Store 43,US-West,200.56,0.13,Seasonal,14,1,Sun,Winter,0,18,35,0.362,high
P101016,Apple Home Item,Home,Apple,S047,Amazon Store 47,Canada,466.69,0.31,Flash Sale,215,8,Tue,Summer,0,7,10,0.063,low
P100961,Sony Home Item,Home,Sony,S000,Amazon Store 0,Canada,196.51,0.52,Clearance,128,5,Sun,Spring,0,17,20,-0.046,loss
P101038,Samsung Grocery Item,Grocery,Samsung,S006,Amazon Store 6,US-East,39.81,0.0,No Promotion,310,11,Tue,Fall,1,15,23,0.385,high
P100519,AmazonBasics Home Item,Home,AmazonBasics,S003,Amazon Store 3,US-East,101.88,0.15,Seasonal,248,9,Mon,Summer,0,40,98,0.376,high
P100869,L'Oreal Electronics Item,Electronics,L'Oreal,S011,Amazon Store 11,US-West,197.46,0.18,Seasonal,29,1,Thu,Winter,0,6,10,0.378,high
P100081,AmazonBasics Grocery Item,Grocery,AmazonBasics,S044,Amazon Store 44,Canada,20.17,0.0,No Promotion,280,10,Sat,Fall,0,102,249,0.459,high
P100130,Nike Fashion Item,Fashion,Nike,S043,Amazon Store 43,US-West,132.82,0.13,Seasonal,338,12,Sat,Fall,0,18,41,0.279,medium
P101195,Nike Electronics Item,Electronics,Nike,S011,Amazon Store 11,US-West,764.25,0.0,No Promotion,319,11,Sat,Fall,0,26,35,0.375,high
P100861,AmazonBasics Grocery Item,Grocery,AmazonBasics,S037,Amazon Store 37,EU,31.75,0.0,No Promotion,202,7,Fri,Summer,0,6,7,0.455,high
P100691,Samsung Beauty Item,Beauty,Samsung,S010,Amazon Store 10,US-East,15.88,0.06,Seasonal,361,13,Mon,Fall,0,14,34,0.182,medium
P100380,Samsung Grocery Item,Grocery,Samsung,S049,Amazon Store 49,US-East,6.65,0.0,No Promotion,57,2,Wed,Winter,0,17,33,0.423,high
P101137,Sony Electronics Item,Electronics,Sony,S004,Amazon Store 4,EU,126.59,0.14,Seasonal,218,8,Wed,Summer,0,22,44,0.077,low
P100055,Adidas Sports Item,Sports,Adidas,S035,Amazon Store 35,US-West,38.34,0.0,No Promotion,62,3,Thu,Winter,0,42,86,0.287,medium
P101158,Nike Electronics Item,Electronics,Nike,S044,Amazon Store 44,Canada,918.41,0.06,Seasonal,157,6,Sun,Spring,0,14,27,0.32,high
P100592,HP Electronics Item,Electronics,HP,S030,Amazon Store 30,US-East,1020.98,0.17,Holiday,202,7,Mon,Summer,0,19,35,0.272,medium
P100358,AmazonBasics Fashion Item,Fashion,AmazonBasics,S047,Amazon Store 47,Canada,142.57,0.37,Flash Sale,17,1,Fri,Winter,1,21,42,-0.16,loss
P100929,LG Electronics Item,Electronics,LG,S020,Amazon Store 20,Canada,902.43,0.49,Clearance,322,11,Mon,Fall,0,16,22,-0.033,loss
P100633,HP Fashion Item,Fashion,HP,S047,Amazon Store 47,Canada,183.23,0.0,No Promotion,6,1,Mon,Winter,0,3,7,0.451,high
P100298,L'Oreal Grocery Item,Grocery,L'Oreal,S030,Amazon Store 30,US-East,39.26,0.4,Flash Sale,58,2,Thu,Winter,0,64,149,-0.099,loss
P100045,L'Oreal Electronics Item,Electronics,L'Oreal,S047,Amazon Store 47,Canada,1333.09,0.16,Seasonal,325,11,Fri,Fall,0,23,28,0.092,low
P100732,Samsung Beauty Item,Beauty,Samsung,S027,Amazon Store 27,UK,151.71,0.08,Seasonal,318,11,Sat,Fall,0,80,121,0.318,high
P100771,Samsung Sports Item,Sports,Samsung,S047,Amazon Store 47,Canada,300.26,0.17,Seasonal,169,6,Wed,Spring,0,20,41,0.36,high
P101145,LG Electronics Item,Electronics,LG,S046,Amazon Store 46,EU,147.65,0.0,No Promotion,82,3,Tue,Spring,1,22,49,0.207,medium
P100685,LG Beauty Item,Beauty,LG,S048,Amazon Store 48,EU,94.38,0.27,Holiday,219,8,Sun,Summer,0,9,13,0.22,medium
P101180,AmazonBasics Sports Item,Sports,AmazonBasics,S029,Amazon Store 29,US-East,151.36,0.35,Flash Sale,177,6,Sat,Summer,0,46,101,0.227,medium
P100356,Nike Sports Item,Sports,Nike,S032,Amazon Store 32,US-West,361.36,0.22,Flash Sale,204,7,Fri,Summer,0,6,12,-0.003,loss
P100166,AmazonBasics Grocery Item,Grocery,AmazonBasics,S045,Amazon Store 45,UK,19.87,0.17,Seasonal,71,3,Wed,Winter,1,19,22,0.138,low
P100656,HP Fashion Item,Fashion,HP,S008,Amazon Store 8,US-West,124.97,0.39,Flash Sale,266,9,Sat,Fall,0,20,47,-0.289,loss
P100294,Dell Electronics Item,Electronics,Dell,S029,Amazon Store 29,US-East,673.55,0.12,Seasonal,98,4,Thu,Spring,0,8,10,0.42,high
P100308,LG Home Item,Home,LG,S048,Amazon Store 48,EU,87.66,0.0,No Promotion,345,12,Sun,Fall,0,27,63,0.251,medium
P100718,Sony Electronics Item,Electronics,Sony,S032,Amazon Store 32,US-West,542.67,0.0,No Promotion,291,10,Fri,Fall,0,27,47,0.479,high
P100369,AmazonBasics Beauty Item,Beauty,AmazonBasics,S005,Amazon Store 5,UK,149.2,0.0,No Promotion,208,7,Fri,Summer,1,21,51,0.325,high
P100153,L'Oreal Sports Item,Sports,L'Oreal,S017,Amazon Store 17,US-East,282.96,0.15,Seasonal,2,1,Wed,Winter,0,21,29,0.195,medium
P101102,Apple Sports Item,Sports,Apple,S043,Amazon Store 43,US-West,397.17,0.0,No Promotion,124,5,Wed,Spring,0,23,28,0.22,medium
P101187,L'Oreal Home Item,Home,L'Oreal,S029,Amazon Store 29,US-East,202.73,0.1,Seasonal,280,10,Mon,Fall,1,16,31,0.413,high
P100337,Samsung Home Item,Home,Samsung,S001,Amazon Store 1,US-East,65.19,0.29,Flash Sale,74,3,Mon,Winter,0,17,38,0.046,low
P100499,Sony Beauty Item,Beauty,Sony,S021,Amazon Store 21,UK,159.94,0.47,Clearance,166,6,Fri,Spring,0,18,38,-0.05,loss
P100898,Adidas Fashion Item,Fashion,Adidas,S007,Amazon Store 7,US-East,195.79,0.0,No Promotion,22,1,Tue,Winter,0,20,43,0.462,high
P100409,AmazonBasics Beauty Item,Beauty,AmazonBasics,S021,Amazon Store 21,UK,26.56,0.33,Flash Sale,154,6,Thu,Spring,0,14,23,0.098,low
P100922,Sony Home Item,Home,Sony,S036,Amazon Store 36,US-East,466.79,0.31,Clearance,295,10,Wed,Fall,0,22,40,0.152,medium
P100143,Sony Sports Item,Sports,Sony,S035,Amazon Store 35,US-West,303.14,0.0,No Promotion,219,8,Mon,Summer,0,12,25,0.419,high
P100083,Apple Grocery Item,Grocery,Apple,S026,Amazon Store 26,US-East,14.24,0.21,Flash Sale,157,6,Thu,Spring,0,19,46,0.02,low
P101170,Apple Sports Item,Sports,Apple,S029,Amazon Store 29,US-East,299.4,0.25,Holiday,230,8,Sun,Summer,0,15,27,0.17,medium
P100763,Nike Sports Item,Sports,Nike,S021,Amazon Store 21,UK,265.07,0.25,Flash Sale,20,1,Sat,Winter,1,42,87,0.192,medium
P101027,Nike Grocery Item,Grocery,Nike,S030,Amazon Store 30,US-East,37.29,0.0,No Promotion,41,2,Sat,Winter,0,29,63,0.431,high
P101062,Apple Home Item,Home,Apple,S005,Amazon Store 5,UK,208.54,0.0,No Promotion,148,5,Fri,Spring,0,26,56,0.475,high
P100233,Adidas Fashion Item,Fashion,Adidas,S029,Amazon Store 29,US-East,79.28,0.0,No Promotion,108,4,Wed,Spring,0,24,34,0.461,high
P100560,Nike Beauty Item,Beauty,Nike,S009,Amazon Store 9,EU,62.79,0.25,Holiday,84,3,Sat,Spring,0,20,30,0.088,low
P100114,LG Home Item,Home,LG,S005,Amazon Store 5,UK,379.13,0.27,Holiday,322,11,Sun,Fall,0,12,15,0.129,low
P100186,L'Oreal Sports Item,Sports,L'Oreal,S044,Amazon Store 44,Canada,109.54,0.15,Seasonal,309,11,Wed,Fall,1,29,71,0.271,medium
P100740,Nike Home Item,Home,Nike,S001,Amazon Store 1,US-East,266.19,0.35,Clearance,290,10,Mon,Fall,0,40,91,0.223,medium
P100544,Apple Grocery Item,Grocery,Apple,S042,Amazon Store 42,US-East,25.66,0.0,No Promotion,323,11,Sat,Fall,0,12,23,0.213,medium
P100448,Samsung Home Item,Home,Samsung,S029,Amazon Store 29,US-East,20.09,0.0,No Promotion,134,5,Tue,Spring,1,45,62,0.31,high
P100572,L'Oreal Beauty Item,Beauty,L'Oreal,S021,Amazon Store 21,UK,41.39,0.09,Seasonal,207,7,Sat,Summer,0,25,60,0.32,high
P100577,Adidas Electronics Item,Electronics,Adidas,S038,Amazon Store 38,EU,446.61,0.29,Holiday,283,10,Wed,Fall,0,22,33,-0.111,loss
P100184,Dell Electronics Item,Electronics,Dell,S048,Amazon Store 48,EU,1107.23,0.19,Seasonal,266,9,Tue,Fall,1,8,17,0.202,medium
P100671,Adidas Grocery Item,Grocery,Adidas,S002,Amazon Store 2,US-East,7.16,0.17,Holiday,73,3,Thu,Winter,0,14,21,0.256,medium
P100697,Nike Electronics Item,Electronics,Nike,S041,Amazon Store 41,US-West,319.04,0.14,Seasonal,352,12,Sat,Fall,1,37,90,0.381,high
P100856,Samsung Beauty Item,Beauty,Samsung,S009,Amazon Store 9,EU,147.13,0.0,No Promotion,48,2,Wed,Winter,0,16,25,0.475,high
P101011,Sony Fashion Item,Fashion,Sony,S026,Amazon Store 26,US-East,221.62,0.25,Holiday,326,11,Sat,Fall,0,23,27,0.282,medium
P101102,Apple Sports Item,Sports,Apple,S003,Amazon Store 3,US-East,397.17,0.0,No Promotion,233,8,Sat,Summer,0,20,24,0.4,high
P100613,AmazonBasics Sports Item,Sports,AmazonBasics,S044,Amazon Store 44,Canada,335.88,0.0,No Promotion,100,4,Wed,Spring,0,18,36,0.409,high
P100892,HP Fashion Item,Fashion,HP,S031,Amazon Store 31,EU,94.36,0.13,Seasonal,59,2,Tue,Winter,0,23,46,0.097,low
P100865,HP Sports Item,Sports,HP,S035,Amazon Store 35,US-West,243.72,0.0,No Promotion,258,9,Mon,Summer,1,13,32,0.446,high
P100690,LG Sports Item,Sports,LG,S031,Amazon Store 31,EU,81.84,0.19,Seasonal,65,3,Sun,Winter,0,54,132,0.215,medium
P100845,HP Grocery Item,Grocery,HP,S047,Amazon Store 47,Canada,10.92,0.0,No Promotion,83,3,Sat,Spring,0,19,39,0.355,high
P100748,Apple Electronics Item,Electronics,Apple,S031,Amazon Store 31,EU,706.54,0.19,Seasonal,154,6,Fri,Spring,0,8,19,0.339,high
P101065,Nike Sports Item,Sports,Nike,S031,Amazon Store 31,EU,141.25,0.28,Flash Sale,266,9,Thu,Fall,0,8,16,0.006,low
P100485,HP Sports Item,Sports,HP,S043,Amazon Store 43,US-West,298.84,0.0,No Promotion,309,11,Wed,Fall,0,18,36,0.404,high
P100686,Sony Sports Item,Sports,Sony,S038,Amazon Store 38,EU,398.07,0.19,Holiday,79,3,Sat,Winter,0,12,27,0.105,low
P100911,Samsung Electronics Item,Electronics,Samsung,S018,Amazon Store 18,Canada,863.94,0.14,Seasonal,315,11,Sun,Fall,1,67,88,0.279,medium
P100569,Apple Sports Item,Sports,Apple,S047,Amazon Store 47,Canada,41.82,0.6,Clearance,150,5,Mon,Spring,1,38,70,-0.5,loss
P100097,L'Oreal Sports Item,Sports,L'Oreal,S026,Amazon Store 26,US-East,231.28,0.0,No Promotion,48,2,Wed,Winter,0,15,34,0.264,medium
P100854,Apple Fashion Item,Fashion,Apple,S044,Amazon Store 44,Canada,266.37,0.0,No Promotion,248,9,Sat,Summer,0,54,74,0.273,medium
P100628,L'Oreal Grocery Item,Grocery,L'Oreal,S005,Amazon Store 5,UK,34.37,0.15,Holiday,278,10,Thu,Fall,0,21,43,0.4,high
P100529,Apple Electronics Item,Electronics,Apple,S026,Amazon Store 26,US-East,453.0,0.0,No Promotion,356,12,Fri,Fall,0,13,32,0.204,medium
P100304,Nike Sports Item,Sports,Nike,S001,Amazon Store 1,US-East,254.84,0.0,No Promotion,98,4,Wed,Spring,1,5,8,0.492,high
P100788,Sony Electronics Item,Electronics,Sony,S014,Amazon Store 14,US-East,83.29,0.21,Flash Sale,25,1,Sat,Winter,0,27,34,0.135,low
P100018,Nike Home Item,Home,Nike,S011,Amazon Store 11,US-West,91.63,0.06,Seasonal,284,10,Tue,Fall,1,43,69,0.328,high
P100646,Adidas Home Item,Home,Adidas,S024,Amazon Store 24,EU,265.61,0.29,Flash Sale,301,11,Mon,Fall,0,17,24,0.026,low
P101151,Sony Beauty Item,Beauty,Sony,S047,Amazon Store 47,Canada,98.03,0.13,Seasonal,68,3,Fri,Winter,0,12,16,0.413,high
P101155,L'Oreal Sports Item,Sports,L'Oreal,S048,Amazon Store 48,EU,171.93,0.0,No Promotion,7,1,Wed,Winter,0,38,87,0.319,high
P101105,Nike Fashion Item,Fashion,Nike,S027,Amazon Store 27,UK,133.45,0.3,Flash Sale,305,11,Sat,Fall,0,34,63,-0.094,loss
P100016,AmazonBasics Grocery Item,Grocery,AmazonBasics,S043,Amazon Store 43,US-West,20.97,0.0,No Promotion,137,5,Fri,Spring,1,19,41,0.448,high
P100796,L'Oreal Sports Item,Sports,L'Oreal,S015,Amazon Store 15,US-West,328.44,0.13,Seasonal,164,6,Tue,Spring,0,9,19,0.262,medium
P101051,Nike Grocery Item,Grocery,Nike,S015,Amazon Store 15,US-West,8.69,0.12,Seasonal,83,3,Wed,Spring,1,10,12,0.237,medium
P100539,LG Fashion Item,Fashion,LG,S025,Amazon Store 25,US-East,273.6,0.0,No Promotion,138,5,Fri,Spring,0,23,51,0.285,medium
P100643,L'Oreal Grocery Item,Grocery,L'Oreal,S036,Amazon Store 36,US-East,3.04,0.0,No Promotion,73,3,Wed,Winter,0,11,16,0.273,medium
P101117,L'Oreal Fashion Item,Fashion,L'Oreal,S031,Amazon Store 31,EU,79.09,0.0,No Promotion,237,8,Wed,Summer,0,34,79,0.496,high
P100755,Sony Sports Item,Sports,Sony,S044,Amazon Store 44,Canada,191.3,0.43,Clearance,46,2,Fri,Winter,0,9,12,-0.194,loss
P100003,LG Sports Item,Sports,LG,S039,Amazon Store 39,UK,243.31,0.06,Seasonal,106,4,Wed,Spring,0,24,32,0.353,high
P100878,Dell Home Item,Home,Dell,S025,Amazon Store 25,US-East,222.74,0.35,Flash Sale,288,10,Tue,Fall,0,8,15,0.06,low
P100906,Apple Grocery Item,Grocery,Apple,S037,Amazon Store 37,EU,26.11,0.0,No Promotion,262,9,Fri,Summer,0,29,60,0.407,high
P100704,L'Oreal Sports Item,Sports,L'Oreal,S042,Amazon Store 42,US-East,215.29,0.0,No Promotion,176,6,Sat,Summer,1,17,36,0.386,high
P100816,Samsung Grocery Item,Grocery,Samsung,S007,Amazon Store 7,US-East,11.2,0.16,Seasonal,166,6,Sun,Spring,0,17,32,0.22,medium
P100931,Dell Beauty Item,Beauty,Dell,S032,Amazon Store 32,US-West,18.17,0.44,Clearance,145,5,Fri,Spring,0,19,41,-0.005,loss
P100569,Apple Sports Item,Sports,Apple,S011,Amazon Store 11,US-West,41.82,0.0,No Promotion,330,11,Tue,Fall,0,20,40,0.226,medium
P100086,Apple Electronics Item,Electronics,Apple,S037,Amazon Store 37,EU,241.82,0.27,Holiday,283,10,Tue,Fall,0,62,139,0.011,low
P100601,AmazonBasics Beauty Item,Beauty,AmazonBasics,S034,Amazon Store 34,UK,132.76,0.43,Clearance,54,2,Tue,Winter,0,13,18,-0.324,loss
P101102,Apple Sports Item,Sports,Apple,S022,Amazon Store 22,UK,397.17,0.34,Clearance,178,6,Sat,Summer,0,29,36,-0.077,loss
P100958,AmazonBasics Electronics Item,Electronics,AmazonBasics,S000,Amazon Store 0,Canada,897.0,0.0,No Promotion,244,9,Sat,Summer,0,8,18,0.336,high
P100619,L'Oreal Fashion Item,Fashion,L'Oreal,S042,Amazon Store 42,US-East,39.05,0.05,Seasonal,341,12,Sun,Fall,0,43,74,0.212,medium
P100177,HP Electronics Item,Electronics,HP,S010,Amazon Store 10,US-East,121.28,0.59,Clearance,127,5,Sun,Spring,0,10,14,-0.5,loss
P100310,L'Oreal Fashion Item,Fashion,L'Oreal,S035,Amazon Store 35,US-West,76.59,0.52,Clearance,271,10,Wed,Fall,0,35,61,-0.5,loss
P100702,Sony Beauty Item,Beauty,Sony,S002,Amazon Store 2,US-East,144.71,0.0,No Promotion,132,5,Wed,Spring,0,20,40,0.457,high
P100794,Samsung Electronics Item,Electronics,Samsung,S025,Amazon Store 25,US-East,1410.67,0.37,Clearance,93,4,Thu,Spring,0,9,14,0.03,low
P100024,AmazonBasics Grocery Item,Grocery,AmazonBasics,S044,Amazon Store 44,Canada,25.34,0.3,Flash Sale,73,3,Sun,Winter,0,81,105,0.134,low
P100645,Sony Sports Item,Sports,Sony,S007,Amazon Store 7,US-East,222.18,0.24,Holiday,248,9,Sun,Summer,0,12,17,0.0,low
P100537,Apple Electronics Item,Electronics,Apple,S003,Amazon Store 3,US-East,136.47,0.0,No Promotion,348,12,Wed,Fall,0,25,42,0.295,medium
P100773,HP Grocery Item,Grocery,HP,S025,Amazon Store 25,US-East,37.31,0.29,Flash Sale,273,10,Tue,Fall,1,29,66,-0.074,loss
P100895,Nike Home Item,Home,Nike,S041,Amazon Store 41,US-West,473.11,0.13,Seasonal,43,2,Thu,Winter,0,14,32,0.291,medium
P101001,HP Sports Item,Sports,HP,S044,Amazon Store 44,Canada,143.18,0.21,Flash Sale,41,2,Sun,Winter,0,18,26,0.072,low
P101045,L'Oreal Beauty Item,Beauty,L'Oreal,S036,Amazon Store 36,US-East,87.27,0.0,No Promotion,170,6,Tue,Spring,1,18,38,0.239,medium
P100558,HP Fashion Item,Fashion,HP,S025,Amazon Store 25,US-East,128.09,0.0,No Promotion,212,8,Mon,Summer,0,13,16,0.491,high
P100283,AmazonBasics Fashion Item,Fashion,AmazonBasics,S046,Amazon Store 46,EU,294.17,0.16,Holiday,168,6,Sun,Spring,0,11,20,0.073,low
P100220,AmazonBasics Grocery Item,Grocery,AmazonBasics,S016,Amazon Store 16,EU,38.11,0.0,No Promotion,39,2,Sat,Winter,0,27,56,0.374,high
P100011,Apple Fashion Item,Fashion,Apple,S044,Amazon Store 44,Canada,33.42,0.33,Flash Sale,245,9,Fri,Summer,1,70,116,0.093,low
P100919,Samsung Sports Item,Sports,Samsung,S047,Amazon Store 47,Canada,307.76,0.28,Holiday,151,6,Mon,Spring,0,20,36,0.161,medium
P100023,HP Home Item,Home,HP,S049,Amazon Store 49,US-East,409.13,0.15,Seasonal,111,4,Sat,Spring,1,25,51,0.398,high
